iter	Passed	Remaining
0	0	620
1	1	512
2	1	503
3	1	495
4	2	488
5	2	483
6	3	481
7	3	477
8	4	475
9	4	474
10	5	471
11	5	469
12	6	466
13	6	464
14	7	463
15	7	461
16	7	462
17	8	477
18	9	478
19	9	481
20	10	480
21	10	478
22	11	476
23	11	475
24	12	469
25	12	468
26	12	466
27	13	464
28	13	463
29	14	462
30	14	460
31	15	459
32	15	459
33	16	457
34	16	456
35	17	456
36	17	455
37	17	451
38	18	451
39	18	450
40	19	449
41	19	448
42	20	448
43	20	447
44	21	448
45	21	448
46	22	448
47	22	448
48	23	451
49	23	452
50	24	451
51	24	451
52	25	450
53	25	449
54	26	448
55	26	448
56	27	447
57	27	447
58	28	452
59	28	452
60	29	451
61	29	451
62	30	450
63	30	449
64	31	448
65	31	448
66	32	447
67	32	446
68	33	445
69	33	444
70	33	444
71	34	444
72	34	443
73	36	450
74	36	451
75	37	454
76	37	455
77	38	454
78	38	453
79	39	453
80	39	452
81	40	451
82	40	450
83	41	449
84	41	448
85	42	447
86	42	446
87	43	446
88	43	445
89	44	445
90	44	442
91	44	443
92	45	442
93	45	441
94	46	440
95	46	439
96	47	438
97	47	438
98	48	437
99	48	436
100	49	437
101	49	437
102	50	438
103	51	442
104	53	453
105	53	454
106	54	454
107	54	453
108	55	457
109	57	461
110	57	462
111	58	461
112	58	460
113	59	459
114	59	458
115	59	456
116	60	455
117	60	454
118	62	463
119	63	463
120	63	462
121	64	462
122	64	461
123	65	461
124	66	463
125	66	462
126	67	460
127	67	459
128	68	459
129	68	457
130	68	456
131	69	455
132	69	454
133	70	453
134	70	452
135	70	450
136	71	449
137	71	448
138	72	447
139	72	447
140	73	446
141	73	446
142	74	445
143	74	444
144	75	443
145	75	442
146	76	441
147	76	441
148	77	440
149	77	439
150	77	438
151	78	438
152	79	437
153	79	436
154	80	436
155	80	435
156	81	435
157	81	434
158	82	433
159	82	433
160	82	432
161	83	432
162	84	432
163	84	431
164	85	431
165	85	430
166	86	430
167	86	429
168	87	429
169	87	428
170	88	427
171	88	426
172	89	425
173	89	425
174	90	424
175	90	423
176	90	422
177	91	422
178	92	422
179	92	421
180	93	421
181	93	421
182	94	420
183	94	420
184	95	419
185	95	419
186	96	420
187	97	419
188	97	418
189	98	418
190	98	417
191	98	416
192	99	415
193	99	414
194	100	413
195	100	412
196	101	412
197	101	411
198	102	410
199	102	410
200	103	409
201	103	408
202	103	408
203	104	407
204	104	407
205	105	406
206	105	405
207	106	405
208	106	404
209	107	404
210	108	405
211	108	404
212	109	404
213	110	404
214	110	403
215	111	402
216	111	401
217	111	401
218	112	400
219	113	401
220	113	400
221	114	400
222	115	400
223	115	400
224	116	400
225	116	399
226	117	399
227	117	398
228	118	397
229	118	397
230	119	396
231	119	396
232	120	396
233	121	396
234	121	396
235	122	396
236	122	395
237	123	395
238	124	395
239	124	395
240	125	395
241	126	395
242	126	394
243	127	394
244	127	394
245	128	393
246	129	393
247	129	392
248	130	392
249	130	391
250	131	392
251	131	391
252	132	390
253	132	390
254	133	389
255	133	388
256	134	388
257	134	387
258	135	386
259	136	388
260	137	388
261	137	388
262	138	389
263	139	388
264	140	388
265	140	387
266	141	387
267	141	386
268	142	386
269	142	385
270	143	385
271	143	384
272	144	384
273	144	384
274	145	384
275	146	384
276	147	383
277	147	383
278	148	383
279	149	383
280	150	383
281	150	383
282	151	383
283	152	383
284	152	383
285	153	382
286	153	382
287	154	381
288	154	381
289	155	380
290	155	379
291	156	379
292	156	378
293	157	377
294	157	377
295	158	376
296	158	375
297	159	375
298	159	374
299	160	373
300	160	373
301	161	372
302	161	371
303	162	371
304	162	370
305	163	369
306	163	369
307	163	368
308	164	368
309	165	367
310	165	367
311	166	367
312	167	366
313	167	366
314	168	365
315	168	365
316	169	364
317	169	364
318	170	364
319	171	363
320	171	363
321	172	362
322	172	361
323	173	361
324	173	360
325	174	359
326	174	359
327	175	358
328	175	358
329	176	357
330	176	356
331	177	356
332	177	355
333	178	355
334	178	354
335	179	354
336	180	354
337	180	353
338	181	353
339	182	354
340	183	353
341	183	353
342	184	352
343	184	351
344	185	351
345	185	350
346	186	350
347	186	349
348	187	349
349	187	348
350	188	347
351	188	347
352	189	346
353	189	346
354	190	345
355	190	345
356	191	344
357	191	343
358	192	343
359	194	346
360	195	346
361	196	346
362	197	345
363	197	345
364	198	345
365	199	344
366	199	344
367	200	343
368	200	342
369	200	342
370	201	341
371	202	341
372	202	340
373	203	339
374	203	339
375	204	338
376	204	338
377	205	337
378	205	336
379	206	336
380	209	339
381	210	339
382	210	339
383	211	338
384	211	337
385	212	337
386	212	336
387	213	337
388	215	337
389	215	337
390	216	336
391	216	335
392	216	335
393	217	334
394	217	333
395	218	332
396	218	332
397	219	331
398	221	333
399	222	333
400	222	332
401	223	332
402	223	331
403	224	331
404	224	330
405	225	329
406	225	329
407	226	328
408	226	327
409	227	327
410	228	326
411	228	326
412	229	325
413	229	325
414	230	324
415	230	323
416	231	323
417	231	322
418	231	321
419	232	320
420	232	320
421	233	319
422	233	318
423	234	318
424	235	318
425	235	317
426	236	317
427	236	316
428	237	316
429	238	315
430	238	315
431	239	314
432	239	313
433	240	313
434	240	312
435	241	311
436	241	311
437	241	310
438	242	309
439	242	309
440	243	308
441	244	308
442	244	307
443	245	306
444	245	306
445	246	305
446	246	304
447	246	304
448	247	303
449	248	304
450	249	303
451	251	304
452	252	304
453	252	303
454	253	303
455	253	302
456	254	301
457	254	301
458	255	300
459	256	300
460	256	300
461	257	299
462	257	298
463	258	298
464	258	297
465	259	296
466	259	296
467	259	295
468	260	294
469	260	294
470	261	293
471	261	292
472	263	293
473	263	292
474	264	292
475	264	291
476	265	291
477	266	291
478	266	290
479	267	289
480	268	289
481	268	288
482	268	287
483	269	287
484	270	286
485	270	286
486	271	285
487	271	285
488	272	284
489	272	283
490	273	283
491	273	282
492	274	281
493	274	281
494	275	280
495	275	279
496	275	279
497	276	278
498	277	278
499	277	277
500	278	277
501	279	276
502	279	276
503	280	276
504	280	275
505	281	274
506	282	274
507	282	273
508	283	273
509	283	272
510	284	272
511	284	271
512	285	271
513	286	270
514	286	269
515	287	269
516	287	268
517	288	268
518	288	267
519	289	266
520	289	266
521	289	265
522	290	264
523	291	264
524	292	264
525	292	263
526	293	263
527	293	262
528	294	262
529	295	261
530	295	261
531	296	260
532	296	260
533	297	259
534	297	258
535	298	258
536	298	257
537	299	257
538	299	256
539	300	255
540	300	255
541	301	254
542	301	253
543	302	253
544	302	252
545	303	252
546	303	251
547	304	250
548	304	250
549	305	249
550	305	249
551	306	248
552	306	248
553	307	247
554	308	247
555	308	246
556	309	246
557	309	245
558	310	244
559	310	244
560	311	243
561	311	243
562	312	242
563	312	241
564	313	241
565	314	240
566	314	240
567	314	239
568	315	238
569	315	238
570	316	237
571	316	237
572	317	236
573	317	235
574	318	235
575	318	234
576	319	233
577	320	233
578	320	233
579	321	232
580	322	232
581	322	231
582	323	231
583	323	230
584	324	230
585	324	229
586	325	228
587	325	228
588	326	227
589	326	227
590	327	226
591	327	225
592	328	225
593	328	224
594	329	224
595	329	223
596	330	222
597	330	222
598	331	221
599	331	220
600	331	220
601	332	219
602	332	219
603	333	218
604	334	218
605	335	218
606	335	217
607	336	217
608	337	216
609	337	215
610	338	215
611	338	214
612	339	214
613	339	213
614	340	213
615	340	212
616	341	211
617	341	211
618	342	210
619	342	210
620	343	209
621	343	208
622	344	208
623	344	207
624	345	207
625	345	206
626	346	205
627	346	205
628	347	204
629	347	204
630	349	204
631	349	203
632	350	203
633	350	202
634	351	202
635	352	201
636	352	200
637	353	200
638	353	199
639	354	199
640	354	198
641	355	198
642	355	197
643	356	197
644	356	196
645	357	195
646	357	195
647	358	194
648	358	194
649	359	193
650	359	192
651	360	192
652	360	191
653	361	190
654	361	190
655	361	189
656	362	189
657	363	188
658	364	188
659	364	187
660	365	187
661	366	186
662	366	186
663	367	185
664	367	185
665	368	184
666	369	184
667	369	183
668	370	183
669	370	182
670	371	182
671	371	181
672	372	180
673	372	180
674	373	179
675	373	179
676	374	178
677	374	177
678	375	177
679	375	176
680	377	176
681	377	176
682	378	175
683	379	175
684	380	174
685	380	174
686	381	173
687	381	173
688	382	172
689	383	172
690	383	171
691	384	171
692	384	170
693	385	169
694	385	169
695	386	168
696	386	168
697	387	167
698	387	167
699	388	166
700	388	165
701	389	165
702	391	165
703	392	164
704	392	164
705	393	163
706	394	163
707	394	162
708	395	162
709	395	161
710	396	160
711	396	160
712	397	159
713	397	159
714	398	158
715	398	158
716	399	157
717	399	156
718	400	156
719	400	155
720	401	155
721	402	154
722	402	154
723	403	153
724	403	153
725	405	152
726	405	152
727	406	151
728	407	151
729	407	150
730	408	150
731	409	149
732	410	149
733	410	148
734	411	148
735	411	147
736	412	147
737	412	146
738	413	145
739	413	145
740	414	144
741	414	144
742	415	143
743	415	143
744	416	142
745	416	141
746	417	141
747	417	140
748	418	140
749	418	139
750	419	139
751	420	138
752	420	137
753	421	137
754	421	136
755	422	136
756	423	135
757	423	135
758	424	134
759	424	134
760	425	133
761	425	133
762	426	132
763	426	131
764	427	131
765	427	130
766	428	130
767	428	129
768	429	128
769	429	128
770	430	127
771	430	127
772	431	126
773	431	126
774	432	125
775	433	125
776	433	124
777	435	124
778	436	123
779	436	123
780	437	122
781	438	122
782	438	121
783	439	121
784	439	120
785	440	119
786	440	119
787	441	118
788	441	118
789	442	117
790	442	117
791	443	116
792	443	115
793	444	115
794	444	114
795	445	114
796	445	113
797	446	112
798	446	112
799	447	111
800	448	111
801	448	110
802	449	110
803	450	109
804	451	109
805	451	108
806	452	108
807	452	107
808	453	106
809	453	106
810	454	105
811	454	105
812	455	104
813	455	104
814	456	103
815	456	102
816	457	102
817	457	101
818	458	101
819	458	100
820	459	100
821	459	99
822	460	98
823	460	98
824	461	97
825	461	97
826	462	96
827	463	96
828	463	95
829	464	95
830	465	94
831	466	94
832	467	93
833	467	93
834	468	92
835	468	91
836	469	91
837	469	90
838	470	90
839	470	89
840	471	89
841	471	88
842	472	87
843	472	87
844	473	86
845	473	86
846	474	85
847	474	85
848	475	84
849	475	83
850	476	83
851	477	82
852	477	82
853	478	81
854	479	81
855	479	80
856	480	80
857	480	79
858	481	78
859	481	78
860	482	77
861	482	77
862	483	76
863	483	76
864	483	75
865	484	74
866	484	74
867	485	73
868	485	73
869	486	72
870	486	72
871	487	71
872	487	70
873	488	70
874	488	69
875	489	69
876	491	68
877	491	68
878	492	67
879	492	67
880	493	66
881	493	66
882	494	65
883	494	64
884	495	64
885	495	63
886	496	63
887	496	62
888	497	62
889	497	61
890	498	60
891	498	60
892	498	59
893	499	59
894	499	58
895	500	58
896	500	57
897	501	56
898	501	56
899	502	55
900	502	55
901	503	54
902	503	54
903	504	53
904	505	53
905	506	52
906	506	51
907	507	51
908	508	50
909	508	50
910	509	49
911	509	49
912	510	48
913	510	48
914	511	47
915	511	46
916	512	46
917	512	45
918	513	45
919	513	44
920	514	44
921	514	43
922	514	42
923	515	42
924	515	41
925	516	41
926	516	40
927	517	40
928	517	39
929	518	39
930	519	38
931	519	37
932	520	37
933	520	36
934	521	36
935	522	35
936	522	35
937	523	34
938	523	34
939	524	33
940	524	32
941	525	32
942	525	31
943	526	31
944	526	30
945	527	30
946	527	29
947	528	28
948	528	28
949	529	27
950	529	27
951	530	26
952	530	26
953	531	25
954	531	25
955	532	24
956	532	23
957	533	23
958	534	22
959	534	22
960	535	21
961	535	21
962	536	20
963	536	20
964	537	19
965	538	18
966	538	18
967	539	17
968	539	17
969	540	16
970	541	16
971	541	15
972	542	15
973	542	14
974	543	13
975	543	13
976	544	12
977	544	12
978	545	11
979	545	11
980	546	10
981	547	10
982	547	9
983	548	8
984	548	8
985	549	7
986	549	7
987	550	6
988	551	6
989	551	5
990	551	5
991	552	4
992	553	3
993	553	3
994	554	2
995	555	2
996	555	1
997	556	1
998	556	0
999	557	0
